Threat                                                  ,Description                                                                                                                                           ,Data Flow
Failure Of Remote Service                               ,Unexpected failure of the remote service                                                                                                              ,1. ExternalService -> CloudApplication
Connection Lost To Remote Service                       ,Connection lost to the remote service                                                                                                                 ,1. ExternalService -> CloudApplication
Data Breach By Remote Service                           ,Data breach (information disclosure) by the remote service                                                                                            ,1. ExternalService -> CloudApplication
Data Loss By Remote Service                             ,Data loss (modification) by the remote service                                                                                                        ,1. ExternalService -> CloudApplication
Spoofing Of Remote Service                              ,Spoofing of the remote service                                                                                                                        ,1. ExternalService -> CloudApplication
Failure Of Cloud Application                            ,Unexpected failure of the cloud application                                                                                                           ,1. CloudApplication -> CloudApplication; 2. CloudApplication -> RemoteUser; 3. CloudApplication -> ExternalService
Connection Lost To Cloud Application                    ,Connection lost to the cloud application                                                                                                              ,1. CloudApplication -> CloudApplication; 2. CloudApplication -> RemoteUser; 3. CloudApplication -> ExternalService
Malware From Cloud Application                          ,Malicious content (malware) from the cloud application                                                                                                ,1. CloudApplication -> RemoteUser
Public Network Access To Cloud Application              ,Remote user connects to the cloud application though a public network (e.g. Wi-Fi) and can be attacked by a third-party adversary                     ,1. CloudApplication -> RemoteUser
Social Engineering Against Remote User                  ,"Remote user suffers from Social Engineering attacks, performed by third-party adversary (e.g. including the cloud application into phishing schema)" ,1. CloudApplication -> RemoteUser
Broken Authentication                                   ,No authentication or broken (weak) authentication by the cloud application                                                                            ,1. CloudApplication -> CloudApplication; 2. ExternalService -> CloudApplication; 3. RemoteUser -> CloudApplication
Broken Access Control                                   ,"No access control, broken (weak) access control, and the authorization issues of the cloud application"                                              ,1. CloudApplication -> CloudApplication; 2. ExternalService -> CloudApplication; 3. RemoteUser -> CloudApplication
Data Breach By Cloud Application                        ,Data breach (information disclosure) by the cloud application                                                                                         ,1. CloudApplication -> CloudApplication; 2. ExternalService -> CloudApplication; 3. RemoteUser -> CloudApplication
Data Loss By Cloud Application                          ,Data loss (modification) by the cloud application                                                                                                     ,1. CloudApplication -> CloudApplication; 2. ExternalService -> CloudApplication; 3. RemoteUser -> CloudApplication
Backup Of Cloud Application Lost                        ,Lost of cloud application backup                                                                                                                      ,1. CloudApplication -> CloudApplication; 2. ExternalService -> CloudApplication; 3. RemoteUser -> CloudApplication
Backup Of Cloud Application Stolen                      ,Disclosure of cloud application backups                                                                                                               ,1. CloudApplication -> CloudApplication; 2. ExternalService -> CloudApplication; 3. RemoteUser -> CloudApplication
Logs Of Cloud Application Lost                          ,Lost of cloud application logs                                                                                                                        ,1. CloudApplication -> CloudApplication; 2. ExternalService -> CloudApplication; 3. RemoteUser -> CloudApplication
Logs Of Cloud Application Stolen                        ,Disclosure of sensitive information from cloud application logs                                                                                       ,1. CloudApplication -> CloudApplication; 2. ExternalService -> CloudApplication; 3. RemoteUser -> CloudApplication
DDoS Attack To Cloud Application                        ,DDoS/DoS attack against cloud application from the Internet                                                                                           ,1. RemoteUser -> CloudApplication
EDoS Attack To Cloud Application                        ,EDoS (Economic Denial of Sustainability or Economic Denial of Service) attack against cloud application from the Internet                             ,1. RemoteUser -> CloudApplication
Network Attacks To Cloud Application                    ,Remote side can perform remote malicious activities based on misconfiguration or vulnerabilities of the cloud application                             ,1. RemoteUser -> CloudApplication
Cloud Application Abuse                                 ,"Malicious usage (abuse) of cloud application from the Internet (e.g. sending spam, participating botnet, mining) after gain control on it"           ,1. RemoteUser -> CloudApplication
Block Shared Resources Of Cloud Application             ,Blocking shared resources of cloud application (e.g. shared external IP) by a third-part reputation service                                           ,1. RemoteUser -> CloudApplication
Disclosure Of Credentials Of Cloud Management Interface ,Disclosure of user credentials of management interface of cloud application                                                                           ,1. RemoteUser -> CloudApplication
Malicious Insider In Cloud Infrastructure               ,Malicious insider in cloud infrastructure causes security issues of cloud application                                                                 ,1. ComplianceManager -> CloudApplication
Lack Of Reserved Resources For Cloud Application        ,Lack of reserved resources for cloud application because of overload of cloud infrastructure                                                          ,1. ComplianceManager -> CloudApplication
Failure Of Resource Scaling For Cloud Application       ,Unexpected failure of resource scaling for cloud application                                                                                          ,1. ComplianceManager -> CloudApplication
Hidden Dependencies Of Cloud Infrastructure             ,Hidden dependencies between components of cloud application and cloud infrastructure cause security issues of cloud application                       ,1. ComplianceManager -> CloudApplication
Lack Of Resource Isolation Of Cloud Application         ,"Lack of data, code, network isolation of cloud applications caused by misconfigurations and vulnerabilities of cloud infrastructure"                 ,1. ComplianceManager -> CloudApplication
Loss Of Security Control                                ,Loss of visibility and control of security and privacy of cloud application (partially controlled)                                                    ,1. ComplianceManager -> CloudApplication
Poor Information Security Processes                     ,"Poor information security processes of cloud provider (design, implementation and operations)"                                                       ,1. ComplianceManager -> CloudApplication
